Method,NDCG@5,Precision@5,Recall@5,MAP,Time(s)
TF-IDF,0.6873,0.6000,0.6000,0.5478,0.01
Skill-IDF,0.5443,1.0000,1.0000,1.0000,0.02
Multi-Agent+IDF,0.8560,0.8000,0.8000,0.7700,8.60
